Index,Target,Type,Alcohol,Density,Nitrogen,pH,Sugar,A,B,C,D,Di,E,H,S,U,V,Cost
25,4,red_wine,8.00,1.02,3.38,3.51,2.11,31.90,4.09,7.05,5.50,11.07,1.01,6.76,7.74,0.40,0.38,4.2725
26,4,white_wine,8.30,1.02,7.56,3.57,6.67,20.70,3.17,1.80,23.10,27.98,1.77,2.11,5.55,6.75,0.12,6.2105
27,5,white_wine,8.65,1.01,1.40,3.28,1.73,23.90,2.90,6.75,38.50,41.32,1.58,1.86,3.65,5.80,0.06,4.3125
28,3,white_wine,7.70,1.02,2.50,3.32,8.29,24.90,3.96,5.10,47.30,54.08,0.46,2.67,4.38,8.10,0.19,6.610999999999999
29,4,white_wine,8.15,1.02,2.32,3.76,3.53,22.30,0.59,3.75,9.90,21.03,0.75,1.92,5.40,3.15,0.07,4.9305
30,6,red_wine,9.40,1.02,10.50,3.44,6.48,30.70,3.17,6.75,4.40,16.02,1.78,3.97,8.76,0.35,0.30,6.5
31,3,red_wine,8.50,1.02,5.83,3.37,2.49,30.50,4.36,6.45,11.00,4.45,0.87,6.26,6.57,1.55,0.18,4.5785
32,5,white_wine,9.20,1.01,3.60,3.51,1.82,24.30,3.43,7.35,27.50,34.82,1.53,1.12,1.61,6.00,0.03,4.5755
33,3,white_wine,7.80,1.02,4.51,3.30,6.86,22.90,2.64,6.15,66.00,63.87,1.63,2.23,3.50,10.50,0.18,6.071
34,4,white_wine,8.25,1.02,1.76,3.71,4.96,25.50,2.77,4.35,28.60,35.19,0.91,3.16,5.40,7.50,0.07,5.529999999999999
35,4,white_wine,8.50,1.02,3.50,3.54,5.06,24.10,2.11,5.40,9.90,19.53,1.01,4.59,2.19,6.35,0.07,5.632
36,5,white_wine,7.85,1.02,9.19,3.40,11.51,25.10,1.32,4.65,25.30,38.73,1.58,2.60,3.21,4.40,0.22,7.9635
37,4,white_wine,9.20,1.01,7.40,3.45,5.43,24.10,1.32,7.35,36.30,45.26,0.91,1.92,2.63,5.95,0.19,6.0105
38,3,white_wine,7.75,1.02,3.36,3.36,15.70,23.70,2.51,3.90,59.40,78.99,1.51,2.48,4.09,9.50,0.20,9.5985
39,2,white_wine,7.45,1.02,5.40,3.32,1.54,22.10,7.79,1.05,8.80,19.94,1.15,3.16,1.90,5.10,0.07,3.8234999999999997
40,5,white_wine,9.15,1.01,9.48,3.19,2.11,25.50,2.51,5.10,27.50,33.89,1.26,1.18,3.80,8.10,0.13,4.626
41,5,white_wine,9.15,1.01,7.68,3.44,1.63,20.30,2.24,5.40,42.90,46.09,1.07,1.61,6.13,3.60,0.11,4.4715
42,4,red_wine,8.50,1.02,9.57,3.56,5.62,23.30,8.51,1.35,8.80,14.57,1.60,6.70,3.94,0.55,0.27,5.859
43,3,white_wine,8.45,1.02,5.70,3.33,6.77,25.90,2.77,5.85,5.50,18.99,1.23,1.67,2.92,5.55,0.17,6.2669999999999995
44,4,white_wine,8.65,1.01,9.94,3.48,2.30,22.10,1.58,3.75,31.90,36.87,1.95,1.98,4.96,4.45,0.14,4.5705
45,4,red_wine,8.10,1.02,10.50,3.40,3.44,31.30,3.43,7.35,20.90,30.47,1.52,4.28,7.01,3.60,0.26,4.8229999999999995
46,3,white_wine,7.90,1.02,2.77,3.36,8.00,23.30,3.17,5.40,61.60,70.81,0.96,2.36,3.50,8.10,0.02,6.571
47,4,white_wine,8.00,1.02,2.27,3.59,1.82,22.90,1.06,5.55,28.60,31.78,1.32,1.74,4.09,5.15,0.04,4.1685
48,6,white_wine,9.30,1.01,2.88,3.46,3.44,23.10,3.70,4.20,30.80,34.73,1.77,1.74,6.28,5.65,0.11,5.251
49,4,red_wine,9.10,1.02,3.57,3.44,2.30,30.10,3.56,7.05,5.50,20.43,0.93,3.22,4.38,0.25,0.26,4.722999999999999
50,4,white_wine,8.35,1.01,2.90,3.37,3.53,22.70,2.24,3.30,44.00,50.43,1.38,2.42,4.09,7.75,0.16,4.941
51,3,red_wine,7.95,1.02,1.10,3.48,1.73,27.50,10.03,0.00,25.30,43.14,1.45,3.47,4.82,1.35,0.23,4.0985
52,3,white_wine,7.65,1.02,5.43,3.27,1.54,25.70,1.72,4.05,20.90,36.02,1.26,2.60,3.50,4.15,0.07,3.8859999999999997
53,3,white_wine,7.85,1.01,0.30,3.40,1.73,22.30,2.90,7.05,53.90,61.29,1.77,2.48,3.36,9.05,0.18,4.0504999999999995
54,5,red_wine,8.50,1.02,5.22,3.63,6.10,23.70,6.73,0.90,11.00,30.83,1.67,3.16,5.40,0.60,0.27,6.061499999999999
55,4,white_wine,7.90,1.02,15.93,3.37,12.75,23.70,2.51,4.50,74.80,91.70,1.43,,4.09,7.70,0.00,8.4725
56,3,white_wine,7.75,1.02,3.18,3.45,10.28,25.30,5.28,4.20,61.60,74.62,1.02,2.48,3.36,9.95,0.14,7.444
57,3,white_wine,7.85,1.02,3.44,3.39,8.00,23.30,2.90,6.75,58.30,73.39,1.29,1.80,3.80,9.70,0.12,6.558
58,4,red_wine,7.85,10.19,1.90,3.50,2.30,25.90,6.47,4.65,9.90,26.08,2.08,4.34,6.86,3.65,0.28,5.2115
59,3,white_wine,8.55,1.02,12.30,3.42,1.44,26.30,5.54,7.05,24.20,36.57,1.45,1.74,2.92,6.00,0.04,4.1834999999999996
60,2,white_wine,8.25,1.02,2.73,3.41,1.82,26.10,1.06,5.40,14.30,30.59,1.56,1.49,2.48,5.80,0.06,4.228999999999999
61,4,white_wine,7.85,1.02,12.46,3.43,10.47,23.50,2.90,6.75,60.50,67.98,1.44,1.43,5.40,10.30,0.02,7.552
62,3,white_wine,8.15,1.02,6.84,3.51,17.31,21.50,2.38,3.60,24.20,28.49,0.48,3.10,4.09,5.90,0.22,10.405
63,3,white_wine,7.60,1.02,5.54,3.39,16.36,23.10,5.02,6.15,63.80,73.74,0.91,4.65,5.26,10.80,0.20,9.814499999999999
64,3,red_wine,7.85,1.02,4.69,3.46,2.96,30.90,2.64,8.10,4.40,9.92,1.44,5.95,5.99,0.65,0.42,4.552499999999999
65,2,white_wine,7.60,1.02,3.65,3.29,12.75,23.70,7.79,4.50,23.10,47.50,1.67,17.42,6.57,9.35,0.12,8.3555
66,6,white_wine,8.60,1.01,4.59,3.51,1.92,24.70,1.72,4.35,30.80,39.12,1.71,1.55,4.09,5.60,0.06,4.4055
67,5,red_wine,9.55,1.01,7.26,3.68,2.40,20.30,5.68,2.70,16.50,30.11,1.87,2.05,9.49,4.75,0.16,4.955500000000001
68,5,white_wine,8.90,1.01,2.90,3.53,2.96,23.10,2.64,4.35,27.50,46.53,0.91,1.80,2.77,5.05,0.18,4.9295
69,3,white_wine,8.00,1.02,2.87,3.44,2.40,25.70,2.64,4.65,29.70,32.17,0.89,2.29,6.13,10.10,0.19,4.378
70,3,white_wine,7.80,1.02,0.83,3.34,1.92,27.90,3.17,7.35,17.60,30.98,1.15,2.54,1.75,6.25,0.11,4.101
71,3,red_wine,7.60,1.02,4.99,3.37,2.87,30.90,6.53,9.15,11.00,28.64,1.64,4.15,6.86,0.90,0.24,4.4155
72,5,white_wine,7.60,1.02,0.16,3.20,12.56,23.70,1.32,4.50,19.80,29.86,0.96,3.29,4.38,8.25,0.06,8.266
73,3,red_wine,7.60,1.02,5.49,3.29,2.49,26.30,7.66,10.50,26.40,30.99,1.08,5.52,4.53,6.15,0.16,4.2515
74,4,white_wine,9.15,1.01,2.88,3.45,2.02,22.50,2.64,4.95,25.30,35.80,1.26,1.24,4.09,5.25,0.10,4.6290000000000004
75,5,white_wine,9.30,1.01,2.01,3.38,4.67,25.90,4.36,5.55,42.90,49.11,2.05,1.30,4.67,5.40,0.12,5.731
76,4,white_wine,8.50,1.02,3.62,3.27,8.00,23.30,2.90,3.75,22.00,31.69,1.19,1.67,2.34,5.90,0.12,6.7675
77,4,white_wine,7.55,1.02,2.84,3.10,8.09,25.10,2.77,10.05,57.20,68.20,0.93,1.74,2.77,8.00,0.09,6.445499999999999
78,4,white_wine,7.85,1.02,10.82,3.13,10.19,25.90,2.38,4.95,79.20,95.25,1.11,1.86,3.94,10.30,0.10,7.395
79,5,white_wine,9.35,1.01,3.12,3.33,4.87,23.90,4.88,4.05,17.60,31.81,1.07,1.61,2.04,3.70,0.16,5.821
80,5,white_wine,9.45,1.01,3.09,3.36,3.06,24.30,1.85,4.95,51.70,64.97,1.81,1.49,2.34,7.35,0.10,5.1365
81,3,white_wine,7.90,1.02,2.54,3.42,9.24,25.30,0.66,5.10,42.90,57.80,1.55,3.29,2.48,6.00,0.17,7.0760000000000005
82,3,white_wine,8.10,1.02,3.63,3.69,13.04,25.90,3.04,3.30,49.50,59.47,1.31,2.42,5.40,10.30,0.19,8.7065
83,4,white_wine,8.05,1.02,7.40,3.27,7.14,25.10,1.45,6.00,53.90,71.00,0.99,2.91,4.38,5.20,0.14,6.266
84,5,white_wine,9.50,1.01,4.41,3.36,7.62,24.10,3.17,4.35,37.40,52.13,1.53,0.99,6.28,5.90,0.24,6.978
85,4,red_wine,7.75,1.02,19.55,3.43,2.21,30.30,4.88,3.45,9.90,20.62,1.98,4.53,6.28,0.60,0.11,4.213
86,3,white_wine,7.95,1.02,2.13,3.52,11.89,23.50,4.49,5.85,66.00,75.08,1.32,1.92,5.26,12.10,0.13,8.1685
87,4,red_wine,8.25,1.02,12.97,3.59,2.58,24.50,6.47,0.75,16.50,27.07,1.69,4.46,5.55,1.50,0.22,4.56
88,5,white_wine,8.35,1.01,5.91,3.10,3.92,23.50,1.45,4.80,27.50,39.16,1.21,1.98,5.11,3.50,0.03,5.0565
89,4,red_wine,8.95,1.02,4.36,3.28,4.77,31.90,5.94,7.35,9.90,20.20,1.54,6.76,4.96,0.55,0.03,5.634499999999999
90,4,white_wine,8.30,1.01,3.67,3.31,1.25,23.90,5.02,3.00,4.40,24.45,1.13,2.79,2.92,6.00,0.16,4.0025
91,3,red_wine,8.80,1.02,4.85,3.74,2.40,22.30,6.73,0.15,4.40,22.22,1.63,2.91,4.96,0.35,0.20,4.702999999999999
92,4,white_wine,7.65,1.02,2.85,3.22,14.08,,2.24,4.50,42.90,62.38,1.24,2.67,4.09,8.85,0.15,8.8945
93,3,white_wine,8.10,1.02,7.20,3.36,6.38,22.50,3.04,3.15,53.90,55.74,1.04,1.98,5.55,10.60,0.09,5.992999999999999
94,3,red_wine,8.15,1.02,3.86,3.57,2.11,22.30,3.17,3.75,4.40,18.33,1.23,4.77,3.21,1.30,0.38,4.334
95,5,white_wine,8.75,1.01,6.57,3.41,1.54,24.70,1.32,4.35,12.10,25.02,1.53,2.17,3.80,6.85,0.06,4.291
96,3,white_wine,8.30,1.02,2.90,3.46,4.87,24.90,4.36,5.10,19.80,25.33,1.29,2.05,2.92,6.05,0.19,5.474
97,3,white_wine,7.75,1.02,3.18,3.10,13.84,24.90,7.39,7.05,45.10,49.75,1.87,9.86,3.94,8.95,0.13,8.8155
98,6,white_wine,8.30,1.02,1.32,3.45,4.58,23.90,0.92,4.20,14.30,33.85,1.23,1.24,3.50,5.05,0.22,5.3565000000000005
99,2,white_wine,7.75,1.02,1.05,3.11,10.47,22.10,0.40,7.05,74.80,90.03,1.43,2.67,1.75,7.10,0.03,7.469
100,3,white_wine,8.25,1.02,2.21,3.23,14.36,25.30,3.56,6.90,35.20,48.52,2.08,2.36,4.53,7.25,0.01,9.218
101,4,white_wine,8.40,1.02,2.65,3.31,10.09,24.90,2.77,4.20,46.20,52.18,1.26,1.43,3.65,6.60,0.05,7.5745000000000005
102,4,white_wine,8.35,1.01,2.28,3.50,2.02,21.10,3.89,5.70,17.60,22.49,1.46,1.67,2.48,4.60,0.23,4.3565
103,3,white_wine,8.10,1.01,5.62,3.48,1.35,21.50,3.37,5.10,13.20,24.50,1.38,1.92,6.42,8.40,0.21,3.9979999999999993
104,4,red_wine,8.85,1.02,8.05,3.83,2.49,23.10,7.00,0.00,51.70,62.40,0.68,5.33,7.01,2.65,0.36,4.77
105,3,white_wine,8.25,1.02,1.18,3.51,5.15,21.30,3.56,2.10,51.70,59.90,1.86,2.29,7.15,9.60,0.00,5.576
106,5,white_wine,8.75,1.01,3.89,3.52,3.06,23.50,2.90,4.35,39.60,50.97,1.82,0.99,5.99,5.05,0.12,4.9155
107,3,red_wine,8.10,1.02,3.44,3.55,2.30,28.10,6.86,4.35,34.10,46.80,0.92,3.72,5.11,3.35,0.29,4.389499999999999
108,5,white_wine,8.60,1.01,0.20,3.99,1.54,20.90,1.85,4.35,74.80,77.94,1.66,2.23,5.99,7.30,0.20,4.3255
109,3,white_wine,8.35,1.02,7.10,3.46,1.92,24.50,2.11,4.50,28.60,40.23,1.05,2.42,3.36,6.25,0.15,4.3115
110,4,white_wine,9.40,1.01,8.90,3.45,6.38,23.70,1.85,4.65,35.20,43.88,1.05,1.61,6.42,8.20,0.18,6.4605
111,3,red_wine,8.35,1.02,4.57,3.64,5.62,24.30,4.62,6.30,30.80,40.01,1.73,3.78,7.30,6.15,0.39,5.8185
112,3,white_wine,7.50,1.02,1.17,3.38,8.57,23.90,2.77,3.45,60.50,73.14,1.10,2.91,3.21,10.45,0.17,6.662000000000001
113,1,white_wine,8.60,1.01,5.40,3.58,1.06,22.50,1.98,5.25,25.30,39.47,1.42,2.60,3.07,5.25,0.14,4.072
114,3,red_wine,7.65,1.02,3.15,3.36,4.10,,4.49,3.75,29.70,34.07,1.04,5.89,5.11,4.20,0.19,4.9235
115,4,white_wine,7.85,1.02,5.68,3.43,1.73,23.30,2.11,4.05,35.20,48.77,1.42,2.98,4.96,7.30,0.09,4.055999999999999
116,4,white_wine,9.25,1.01,4.53,3.45,1.35,23.10,2.11,5.70,33.00,43.78,1.12,1.12,2.04,4.20,0.00,4.396
117,4,red_wine,9.55,1.02,12.52,4.08,2.58,19.50,6.86,2.55,17.60,33.85,1.66,3.04,5.55,5.00,0.02,5.0885
118,4,red_wine,7.85,1.02,2.77,3.63,2.02,24.90,2.77,5.70,8.80,15.47,1.32,3.29,4.53,1.20,0.38,4.201999999999999
119,4,white_wine,7.85,1.02,3.81,3.59,16.07,23.10,2.38,4.80,47.30,59.51,1.45,2.23,3.50,8.00,0.24,9.816
120,4,white_wine,8.50,1.01,2.94,3.48,1.92,22.30,4.36,0.00,38.50,42.62,1.78,3.35,6.57,4.05,0.26,4.366
121,4,white_wine,8.50,1.02,3.89,3.27,8.00,23.30,2.90,3.75,22.00,36.72,1.18,1.67,2.34,5.90,0.00,6.7675
122,4,white_wine,8.05,1.02,1.39,3.27,6.19,21.70,0.79,2.25,28.60,33.97,1.72,2.05,5.55,5.85,0.06,5.886
123,3,white_wine,8.20,1.02,0.93,3.66,6.86,21.30,8.12,0.90,8.80,17.80,1.51,2.05,3.21,3.90,0.19,6.265
124,4,white_wine,9.35,1.01,10.37,3.57,1.44,22.30,2.51,4.80,25.30,42.46,1.25,1.55,2.63,5.20,0.11,4.484999999999999
125,4,white_wine,7.95,1.02,3.38,3.41,4.20,23.90,1.98,5.10,25.30,34.89,0.90,2.36,4.38,6.10,0.22,5.076
126,5,white_wine,9.65,1.01,6.67,3.43,4.87,21.90,3.17,4.20,36.30,43.79,1.41,1.86,5.11,4.40,0.15,5.941
127,3,white_wine,7.90,1.02,4.44,3.40,6.58,22.50,3.17,7.50,66.00,79.03,0.95,2.42,3.36,9.00,0.05,6.009
128,3,white_wine,7.50,1.02,4.77,3.38,7.71,23.30,3.17,3.90,60.50,69.07,1.22,2.79,3.36,10.15,0.04,6.318
129,3,red_wine,7.75,1.02,5.94,3.48,2.68,25.50,7.72,0.00,7.70,13.05,1.10,5.02,7.45,0.65,0.13,4.4085
130,4,white_wine,8.35,1.01,2.89,3.29,1.92,24.10,2.77,3.90,12.10,20.03,1.33,2.17,3.50,4.05,0.05,4.285
131,4,red_wine,8.70,1.02,5.07,3.67,2.02,22.30,5.28,1.35,18.70,20.91,1.34,4.28,4.67,1.20,0.37,4.5055
132,4,white_wine,8.40,1.01,2.87,3.75,1.63,24.90,0.79,4.50,26.40,30.64,1.10,1.49,2.48,4.25,0.22,4.2555
133,4,white_wine,8.00,1.02,2.30,3.40,9.99,23.30,2.11,4.95,7.70,21.32,1.32,1.43,4.23,3.75,0.20,7.408
134,4,white_wine,7.80,1.02,3.57,3.40,7.43,22.10,3.04,4.80,50.60,63.01,1.10,10.29,4.09,7.65,0.07,6.314
135,3,white_wine,7.80,1.02,1.33,3.41,9.99,23.90,4.36,4.95,29.70,35.50,1.17,2.11,4.38,7.30,0.22,7.3395
136,2,white_wine,8.35,1.02,3.85,3.08,8.76,27.10,1.19,7.35,24.20,35.44,1.44,2.42,1.75,5.10,0.23,6.990499999999999
137,4,red_wine,9.00,1.02,2.05,3.47,3.63,30.10,4.49,7.50,6.60,18.58,1.95,6.08,10.37,0.75,0.15,5.2245
138,4,white_wine,7.95,1.02,6.37,3.74,8.19,24.90,2.90,7.35,52.80,69.67,1.41,2.85,5.26,9.10,0.12,6.721499999999999
139,4,white_wine,9.30,1.01,2.34,3.35,8.19,24.70,1.19,5.40,47.30,64.36,1.31,1.18,2.77,5.25,0.09,7.134499999999999
140,3,white_wine,8.85,1.01,1.71,3.13,1.30,26.90,3.04,4.65,56.10,80.62,1.73,0.74,1.46,7.10,0.22,4.188
141,4,red_wine,8.10,1.02,4.71,3.66,2.02,23.70,6.34,0.45,18.70,26.92,1.22,4.65,5.99,1.45,0.37,4.294
142,3,red_wine,8.35,1.02,2.57,3.53,2.49,24.90,5.15,6.90,6.60,24.68,1.43,6.51,5.99,0.70,0.28,4.55
143,4,white_wine,8.25,1.02,4.54,3.22,1.92,28.90,1.19,8.25,14.30,25.29,1.42,2.48,5.69,4.40,0.12,4.2405
144,3,white_wine,7.80,1.02,4.33,3.33,6.29,23.90,4.22,6.30,44.00,46.89,0.71,3.53,4.67,8.50,0.01,5.8475
145,3,white_wine,8.05,1.02,4.93,3.68,1.54,24.50,0.79,5.25,15.40,35.94,1.34,1.67,2.48,3.35,0.12,4.0875
146,6,white_wine,9.50,1.01,14.55,3.68,4.49,18.90,3.17,5.85,33.00,47.40,1.55,1.30,2.04,6.05,0.05,5.774
147,6,white_wine,9.40,1.01,1.63,3.43,3.82,23.10,2.38,4.65,38.50,56.08,1.74,1.30,5.84,4.30,0.29,5.4335
148,3,white_wine,7.85,1.02,1.93,3.09,2.87,26.50,2.38,4.95,11.00,28.99,1.49,2.73,3.94,3.25,0.11,4.460999999999999
149,3,red_wine,7.80,1.02,2.02,3.21,2.21,27.10,4.75,7.50,15.40,16.45,1.09,22.32,12.85,1.60,0.02,4.1975
150,5,white_wine,8.60,1.01,1.88,3.48,2.49,24.50,2.11,4.35,39.60,52.92,1.83,1.74,6.13,4.80,0.02,4.6290000000000004
151,5,red_wine,9.00,1.02,12.36,3.52,3.06,27.70,3.04,6.00,6.60,12.40,0.89,6.20,8.32,0.50,0.17,5.004
152,4,red_wine,7.80,1.02,7.29,3.55,2.30,25.70,3.43,5.55,25.30,32.56,1.49,4.53,5.40,2.60,0.21,4.2844999999999995
153,3,white_wine,7.85,1.02,5.00,3.52,11.23,22.90,2.11,4.35,34.10,55.30,1.46,2.60,3.36,8.00,0.10,7.8694999999999995
154,3,white_wine,7.50,1.02,6.96,3.48,17.59,23.70,1.72,5.40,34.10,49.16,1.28,2.29,3.80,6.35,0.19,10.285
155,4,white_wine,8.30,1.02,2.94,3.46,8.57,24.10,1.72,4.20,39.60,51.71,1.68,2.23,4.67,10.75,0.25,6.954000000000001
156,3,red_wine,7.70,1.02,10.12,3.68,2.21,23.10,7.06,0.00,8.80,19.63,1.53,3.47,6.28,0.60,0.40,4.233
157,4,white_wine,8.15,1.02,4.64,3.47,6.96,26.30,2.64,6.00,31.90,46.23,1.38,2.54,3.21,4.55,0.08,6.259
158,4,white_wine,8.30,1.02,2.10,3.22,11.71,23.70,2.64,4.35,55.00,68.02,0.73,2.67,5.26,7.15,0.13,8.174
159,4,white_wine,8.55,1.02,5.34,3.18,11.28,23.10,2.90,4.20,30.80,47.35,1.24,1.98,1.17,5.15,0.01,8.083499999999999
160,3,red_wine,7.65,1.02,6.43,3.47,2.96,25.50,8.05,0.75,15.40,24.68,1.49,4.09,5.69,1.05,0.14,4.484
161,4,red_wine,8.50,1.02,0.06,3.21,4.01,38.10,4.36,9.45,5.50,17.37,2.17,4.96,8.61,2.05,0.10,5.1625
162,3,red_wine,7.70,1.02,6.16,3.59,2.11,20.50,3.17,3.75,13.20,22.36,1.27,5.83,4.82,2.20,0.37,4.1795
163,4,white_wine,7.65,1.02,3.24,3.64,12.84,24.90,1.32,5.40,78.10,97.33,1.78,2.91,1.90,7.85,0.01,8.461500000000001
164,4,red_wine,8.40,1.02,7.18,3.59,2.40,24.30,2.51,9.00,17.60,27.07,1.64,4.03,7.30,0.95,0.15,4.5405
165,5,white_wine,8.90,1.01,3.18,3.46,2.40,24.10,1.58,5.10,12.10,14.71,1.24,2.48,3.50,6.50,0.11,4.695
166,4,white_wine,9.20,1.01,3.77,3.33,5.43,23.50,4.88,4.50,28.60,47.56,1.42,1.67,3.50,7.95,0.02,5.9925
167,5,white_wine,9.30,1.01,2.60,3.50,1.82,22.30,3.17,3.60,40.70,54.02,1.73,1.67,2.92,5.90,0.15,4.609
168,4,white_wine,9.40,1.01,2.18,3.55,8.95,23.50,2.11,4.80,20.90,24.54,1.48,0.87,1.90,5.15,0.17,7.5035
169,1,white_wine,7.10,1.02,5.27,3.64,5.25,18.50,1.78,3.45,69.30,85.01,1.23,1.98,3.21,7.55,0.11,5.2330000000000005
170,4,white_wine,9.10,1.01,3.32,3.41,1.82,22.30,1.72,5.70,39.60,47.62,0.81,1.86,3.07,5.80,0.15,4.525499999999999
171,4,white_wine,8.10,1.02,3.52,3.32,10.85,26.30,2.11,3.90,44.00,58.57,1.07,2.11,3.94,10.25,0.13,7.774999999999999
172,3,white_wine,7.70,1.02,3.43,3.25,12.94,24.30,3.30,9.60,12.10,22.99,1.83,2.91,2.48,4.95,0.09,8.4605
173,4,white_wine,7.75,1.02,3.06,3.47,11.99,23.30,5.81,6.60,58.30,78.10,0.88,2.42,4.67,11.95,0.06,8.131
174,3,red_wine,7.80,1.02,5.26,3.54,2.49,24.50,5.41,3.60,4.40,14.24,1.67,3.78,3.80,1.50,0.40,4.359
175,4,white_wine,9.10,1.01,7.40,3.40,1.73,23.70,1.19,5.40,40.70,43.29,1.77,1.67,6.42,5.10,0.12,4.4879999999999995
176,4,white_wine,8.85,1.01,5.35,3.24,7.62,24.50,2.77,6.00,60.50,77.35,2.10,0.93,1.46,8.55,0.04,6.7325
177,3,white_wine,7.90,1.02,2.57,3.31,1.92,25.30,2.38,7.05,4.40,8.91,1.61,3.66,3.36,2.45,0.14,4.1315
178,4,red_wine,8.35,1.02,12.61,3.60,13.61,21.30,3.04,11.70,24.20,37.72,1.67,4.03,3.80,4.30,0.41,9.0085
179,4,white_wine,9.00,1.02,5.03,3.22,11.51,26.90,3.17,5.25,2.20,17.95,1.69,1.24,1.75,2.00,0.10,8.339
180,4,white_wine,8.30,1.02,12.72,3.51,2.30,24.30,3.43,4.80,30.80,39.96,1.51,2.60,4.09,6.20,0.16,4.4535
181,4,red_wine,8.05,1.02,8.71,3.13,2.21,27.30,5.41,4.20,20.90,45.47,1.12,6.26,25.26,6.50,0.31,4.273
182,3,white_wine,7.70,1.02,2.02,3.29,8.09,23.30,2.24,5.40,58.30,74.98,1.76,2.23,2.92,8.70,0.21,6.5265
183,3,white_wine,8.20,1.02,4.98,3.79,7.05,23.70,2.64,5.55,37.40,43.64,1.07,2.98,4.82,10.10,0.02,6.3605
184,3,red_wine,8.20,1.02,7.38,3.57,2.30,24.10,6.47,0.30,17.60,27.37,1.23,3.91,5.69,1.00,0.34,4.427499999999999
185,3,white_wine,7.50,1.02,4.34,3.40,11.61,23.70,3.83,7.65,67.10,82.79,1.39,2.17,3.21,7.85,0.13,7.881
